,Id,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,LotFrontage,MasVnrArea,GarageYrBlt,MSZoning,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,Heating,HeatingQC,CentralAir,KitchenQual,Functional,PavedDrive,SaleType,SaleCondition,MasVnrType,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Electrical,GarageType,GarageFinish,GarageQual,GarageCond,Alley,FireplaceQu,PoolQC,Fence,MiscFeature
0,1,60,8450,7,5,5,5,706,0,150,856,856,854,0,1710,1,0,2,1,3,1,8,0,2,548,0,61,0,0,0,0,0,2,14,208500,65.0,196.0,5.0,3,1,3,3,0,4,0,5,2,2,0,5,1,1,12,13,2,4,2,1,0,1,2,6,2,8,4,1,2,3,3,2,5,4,1,1,4,4,1,3,3,2,1
1,2,20,9600,6,8,31,31,978,0,284,1262,1262,0,0,1262,0,1,2,0,3,1,6,1,2,460,298,0,0,0,0,0,0,5,13,181500,80.0,0.0,31.0,3,1,3,3,0,2,0,24,1,2,0,2,1,1,8,8,3,4,1,1,0,1,3,6,2,8,4,2,2,3,1,0,5,4,1,1,4,4,1,5,3,2,1
2,3,60,11250,7,5,7,6,486,0,434,920,920,866,0,1786,1,0,2,1,3,1,6,1,2,608,0,42,0,0,0,0,0,9,15,223500,68.0,162.0,7.0,3,1,0,3,0,4,0,5,2,2,0,5,1,1,12,13,2,4,2,1,0,1,2,6,2,8,4,1,2,3,2,2,5,4,1,1,4,4,1,5,3,2,1
3,4,70,9550,7,5,91,36,216,0,540,756,961,756,0,1717,1,0,1,0,3,1,7,1,3,642,0,35,272,0,0,0,0,2,13,140000,60.0,0.0,8.0,3,1,0,3,0,0,0,6,2,2,0,5,1,1,13,15,3,4,0,1,2,1,2,6,2,8,0,2,3,1,3,0,5,4,5,2,4,4,1,2,3,2,1
4,5,60,14260,8,5,8,8,655,0,490,1145,1145,1053,0,2198,1,0,2,1,4,1,9,1,3,836,192,84,0,0,0,0,0,12,12,250000,84.0,350.0,8.0,3,1,0,3,0,2,0,15,2,2,0,5,1,1,12,13,2,4,2,1,0,1,2,6,2,8,4,1,2,3,0,2,5,4,1,1,4,4,1,5,3,2,1
5,6,50,14115,5,5,16,14,732,0,64,796,796,566,0,1362,1,0,1,1,1,1,5,0,2,480,40,30,0,320,0,0,700,10,14,143000,85.0,0.0,16.0,3,1,0,3,0,4,0,11,2,2,0,0,1,1,12,13,3,4,5,1,0,1,3,6,2,8,4,2,2,3,3,2,5,4,1,2,4,4,1,3,3,3,3
6,7,20,10084,8,5,3,2,1369,0,317,1686,1694,0,0,1694,1,0,2,0,3,1,7,1,2,636,255,57,0,0,0,0,0,8,12,307000,75.0,186.0,3.0,3,1,3,3,0,4,0,21,2,2,0,2,1,1,12,13,2,4,2,1,0,1,2,6,2,8,4,3,0,3,0,2,5,4,1,1,4,4,1,2,3,2,1
7,8,60,10382,7,6,36,36,859,32,216,1107,1107,983,0,2090,1,0,2,1,3,1,7,2,2,484,235,204,228,0,0,0,350,11,13,200000,63.0,240.0,36.0,3,1,0,3,0,0,0,14,4,2,0,5,1,1,6,6,3,4,1,1,0,1,3,6,2,8,4,3,2,3,2,0,1,4,1,1,4,4,1,5,3,2,3
8,9,50,6120,7,5,77,58,0,0,952,952,1022,752,0,1774,0,0,2,0,2,2,8,2,2,468,90,0,205,0,0,0,0,4,13,129900,51.0,0.0,77.0,4,1,3,3,0,4,0,17,0,2,0,0,1,1,3,15,3,4,0,1,2,1,3,2,2,8,0,2,3,3,3,5,5,1,5,2,1,4,1,5,3,2,1
9,10,190,7420,5,6,69,58,851,0,140,991,1077,0,0,1077,1,0,1,0,2,2,5,2,1,205,0,4,0,0,0,0,0,1,13,118000,50.0,0.0,69.0,3,1,3,3,0,0,0,3,0,0,1,1,1,1,8,8,3,4,0,1,0,1,3,6,2,8,4,2,3,3,3,2,5,4,1,1,2,4,1,5,3,2,1
10,11,20,11200,5,5,43,43,906,0,134,1040,1040,0,0,1040,1,0,1,0,3,1,5,0,1,384,0,0,0,0,0,0,0,2,15,129500,70.0,0.0,43.0,3,1,3,3,0,4,0,19,2,2,0,2,3,1,6,6,3,4,1,1,0,1,3,6,2,8,4,2,3,3,3,4,5,4,5,2,4,4,1,3,3,2,1
11,12,60,11924,9,5,1,0,998,0,177,1175,1182,1142,0,2324,1,0,3,0,4,1,11,2,3,736,147,21,0,0,0,0,0,7,13,345000,85.0,286.0,1.0,3,1,0,3,0,4,0,16,2,2,0,5,3,1,14,15,0,4,2,1,0,1,0,6,2,6,5,3,0,3,3,2,5,4,3,0,4,4,1,2,3,2,1
